Datetime,WindPower,SolarPower,Total demand,Total Output
12/09/2017 00:00,346.9181882,0,200,146.9181882
12/09/2017 01:00,534.8471097,0,400,134.8471097
12/09/2017 02:00,183.1642655,0,400,-216.8357345
12/09/2017 03:00,534.8471097,0,400,134.8471097
12/09/2017 04:00,534.8471097,0,400,134.8471097
12/09/2017 05:00,731.7878621,660989.7251,400,661321.5129
12/09/2017 06:00,534.8471097,13735423.95,400,13735558.8
12/09/2017 07:00,692.3596838,25674310.77,400,25674603.13
12/09/2017 08:00,731.7878621,32302599.97,400,32302931.75
12/09/2017 09:00,534.8471097,37412180.38,516.4,37412198.82
12/09/2017 10:00,731.7878621,51737070.46,632.8,51737169.45
12/09/2017 11:00,686.6364513,63376104.09,632.8,63376157.93
12/09/2017 12:00,686.6364513,69983315.78,632.8,69983369.61
12/09/2017 13:00,686.6364513,73104701.18,632.8,73104755.02
12/09/2017 14:00,731.7878621,73053522.89,632.8,73053621.88
12/09/2017 15:00,534.8471097,69714481.17,632.8,69714383.22
12/09/2017 16:00,692.3596838,62608754.15,632.8,62608813.71
12/09/2017 17:00,692.3596838,49679067.97,632.8,49679127.53
12/09/2017 18:00,692.3596838,38267268.77,400,38267561.12
12/09/2017 19:00,534.8471097,37616932.59,400,37617067.43
12/09/2017 20:00,534.8471097,35915172.29,400,35915307.13
12/09/2017 21:00,731.7878621,32401534.32,400,32401866.1
12/09/2017 22:00,635.3461151,26413447.93,400,26413683.28
12/09/2017 23:00,534.8471097,16608576.73,400,16608711.58
13/09/2017 00:00,292.0274341,2916909.564,400,2916801.591
13/09/2017 01:00,0,0,400,-400
13/09/2017 02:00,686.6364513,0,400,286.6364513
13/09/2017 03:00,731.7878621,0,400,331.7878621
13/09/2017 04:00,686.6364513,0,400,286.6364513
13/09/2017 05:00,692.3596838,0,400,292.3596838
13/09/2017 06:00,635.3461151,5540924.085,400,5541159.432
13/09/2017 07:00,0,20617244.76,400,20616844.76
13/09/2017 08:00,0,29448851.7,400,29448451.7
13/09/2017 09:00,0,34452644.58,436.6,34452207.98
13/09/2017 10:00,0,43717983.05,473.2,43717509.85
13/09/2017 11:00,584.0548683,58350324.58,473.2,58350435.43
13/09/2017 12:00,635.3461151,67170957.17,473.2,67171119.31
13/09/2017 13:00,731.7878621,71943298.08,473.2,71943556.67
13/09/2017 14:00,635.3461151,73478242.44,473.2,73478404.59
13/09/2017 15:00,635.3461151,71809958.17,473.2,71810120.32
13/09/2017 16:00,731.7878621,66699575.33,473.2,66699833.92
13/09/2017 17:00,731.7878621,57099655.59,473.2,57099914.18
13/09/2017 18:00,686.6364513,41939405.78,400,41939692.42
13/09/2017 19:00,534.8471097,37970730.17,400,37970865.01
13/09/2017 20:00,534.8471097,36957429.79,400,36957564.64
